SORTEREN;Wegbeheerder;Name (verplicht) - max 63 karakters;DescriptiveName (optioneel) - max 63 karakters;Alias (optioneel) - max 255 karakters;Latitude;Longitude;TLC/Inters.;RoadRegulatorID;IntersectionID;TlcIdentifier;UniqueID;Volg-Id;(wordt) iVRI;VRA ID;TLC;ITS applicatie;RIS;UC3;UC4;UC5.1;UC5.2;;
3101000010;Almelo;iV3034;Ootmarsumsestraat - Tubbergerweg;;52,3772190;6,7048230;TLC;31010;;7922000A;1E21B606-E722-4D1D-847C-F40D7FADD610;10;Ja;FR940453;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000020;Almelo;iV3035;Ootmarsumsestraat - Wanschersweg - Wittem;;52,3751660;6,6976700;TLC;31010;;79220014;D275FFBE-07DF-4188-BF3B-53B36F423E79;20;Ja;FR900318;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000030;Almelo;iV3038;Ootmarsumsestraat - Sluitersveldssingel;;52,3729830;6,6885870;TLC;31010;;7922001E;973D3DD9-F6EA-4EB5-860C-481B62720CA8;30;Ja;FR900485;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000040;Almelo;iV3024;Sluitersveldssingel - Buitenhof;;52,3691760;6,6788020;TLC;31010;;79220028;49F2EE7A-AC45-43F7-AF0B-402E811608F7;40;Ja;FR940465 ;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000050;Almelo;iV3023;Van Rechteren Limpurgsingel - Sluitersveldssingel;;52,3671490;6,6714480;TLC;31010;;79220032;B7537F01-68CC-48FA-B366-383E19724FAF;50;Ja;;Dynniq;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000060;Almelo;iV3022;Sluitersveldssingel - Kolthofsingel - Vriezenveenseweg;;52,3669050;6,6684490;TLC;31010;;7922003C;63291883-3010-4186-99AC-AF70248B61CA;60;Ja;;Dynniq;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000070;Almelo;iV3013;Van Rechteren Limpurgsingel - Hofstraat;;52,3564500;6,6747440;TLC;31010;;79220046;E0C230B1-DAEA-4EFA-B0EB-3B6129A2E471;70;Ja;FR900235;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000080;Almelo;iV3012;Van Rechteren Limpurgsingel - Berkelstraat - Kieftsbeeklaan;;52,3493970;6,6773250;TLC;31010;;79220050;B3946664-BACD-4BF6-A7E7-425C30FD340D;80;Ja;FR901305;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000090;Almelo;iV3064;Van Rechteren Limpurgsingel - Nijreessingel;;52,3439980;6,6846240;TLC;31010;;7922005A;DA1D554C-B882-4892-9340-08BC3E28610D;90;Ja;FR901266;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101000100;Almelo;iV3063;Nijreessingel - Planthofsweg;;52,3416570;6,6807460;TLC;31010;;79220064;E51C3F87-1150-4FC3-9943-8FD8F6B3517F;100;Ja;FR901265;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
